HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
9.434452806,24,808,9.434452806
6.1,14.4,808,11.76730981
1.9,1.2,808,15.53032406
1.4,0.5,808,6.8
1.7,0.5,808,7.4
1.9,1,808,13.9
1.8,1.5,808,11.76730981
1.4,0.5,808,11.76730981
1.5,0.5,808,9.434452806
1.5,0.5,808,15.62653365
2.7,2.9,808,15.62653365
1.7,1,808,15.62653365
2.3,4.3,808,15.62653365
2.5,3.3,808,13.970052
13.28221264,28.3,808,20.4277355
10.09529675,15.1,808,20.4277355
1.5,0.5,808,15.62653365
4.4,4.4,808,15.6
4.4,6.5,808,15.6
6,9.6,808,15.6
17,31.2,808,17
15.55203149,24.3,808,20.4277355
1.5,0.5,808,17
7.1,11,808,8.8
4.4,4.9,808,12.3
1.7,0.5,808,12.3
1.8,1.3,808,12.3
2,1.2,808,12.3
10.7,12,840,15.85591307
10.2,12.9,840,15.85591307
8.3,9.5,840,15.85591307
8.3,14.5,840,15.85591307
8.1,11.1,840,15.85591307
3.1,3.5,840,15.85591307
2,2.3,840,17.09374389
3.1,4,840,17.09374389
3,3.4,840,17.09374389
1.5,0.5,840,17.09374389
1.9,1.8,840,19.63009369
2.4,3,840,19.63009369
3.5,4.4,840,19.63009369
2.8,3.4,840,19.63009369
1.5,0.5,840,19.63009369
1.7,1.4,840,17.09374389
2.8,3,840,14.2027458
1.3,1.9,840,17.09374389
3.3,5.1,840,14.2027458
3,3.3,840,14.2027458
1.5,0.5,840,19.63009369
2,1.7,840,17.09374389
3.4,3.9,840,19.63009369
4.1,5.8,840,14.2027458
2.9,3.6,840,17.09374389
3.1,4,840,17.09374389
7.5,12.7,840,13.35732473
8.6,10,840,13.35732473
5.4,9.5,840,15.80133404
3.3,3.6,840,15.5
4.2,4.7,840,17.07748162
5.4,6.8,840,13.6
2,2.7,840,17.07748162
5.5,7.7,840,13.53250579
2.2,2,840,17.07748162
4.2,6.2,840,13.6
6.5,7.6,840,13.53250579
5.7,7.4,840,17.07748162
2.2,1.7,840,17.07748162
4.9,6,840,15.5
3.8,4.8,840,15.80133404
6.9,7.5,840,13.7
6.3,8,840,18.06543231
7.4,9.2,840,11.5
13.7,23.1,840,13.7
8.8,31.6,840,13.6
7.6,9.4,840,18.06543231
3.3,4.8,840,13.7
4.5,3.9,840,18.06543231
2.7,2.2,840,18.06543231
2.9,3,840,13.7
5,6,840,18.06543231
4.2,3.6,840,18.06543231
1.9,1.5,840,18.06543231
2,2.3,840,18.06543231
2.2,2.8,840,13.7
3.7,4.3,840,18.06543231
1.5,1,840,18.06543231
2.5,2,840,18.06543231
4.7,5.2,840,18.06543231
2.8,2.8,840,13.7
5.2,6.3,840,13.7
3.9,4.5,840,18.06543231
5.4,6.1,840,13.6
3.9,5.4,840,18.06543231
13.3,19.7,840,17.09374389
5.2,8.2,840,15.78342419
11.6,18.5,840,17.09374389
6.2,7.8,840,15.78342419
6.7,7.2,840,15.78342419
8.4,9.3,840,15.78342419
1.9,3.2,840,15.78342419
4.5,5.6,840,15.78342419
5.5,7.1,840,15.78342419
1.5,0.5,840,15.78342419
5.7,7.7,840,17.09374389
3.1,3.6,840,17.09374389
2.1,1.8,840,19.63009369
3.1,3.9,840,15.78342419
3.3,3.4,840,15.78342419
1.9,3.4,840,15.78342419
1.8,1,840,19.63009369
4.6,6.5,840,15.78342419
5.1,6.9,840,15.78342419
5.6,7.2,840,15.78342419
4.9,8.1,840,15.78342419
2.7,2.7,815,13.5
13.6,20.6,815,13.6
13.5,34.9,815,13.5
8.6,13.5,815,13.5
1.2,0.5,815,13.5
1.6,1,815,13.5
1.3,0.5,815,13.5
1.2,0.5,815,13.5
8.1,15.8,815,13.3
1.8,1.5,815,13.6
1.5,0.5,815,13.6
1.7,0.5,815,6.8
13.7,20.9,815,21.13632107
5.1,8.8,815,21.13632107
1.6,1,815,21.13632107
2.9,3.5,815,12
3.4,4.9,815,12
3.3,5,815,12
5,6.7,815,11.2
5.4,8.1,815,11.2
1.5,0.5,815,7.5
2,2.6,815,11.2
1.8,0.5,815,12
6,10.4,815,6
8.1,6.7,1017,12
6.1,7.8,1017,12
10.9,16.3,1017,13.6
7.9,9.6,1017,13.6
7.2,17.2,1017,13.6
7.3,10.2,1017,13.6
9.1,16,1017,11.2
5.6,9.9,1017,13.6
2.8,3.8,1017,13.6
3.1,3,1017,11.2
2,1.4,1017,13.6
2.2,2.8,1017,13.6
1.7,0.9,1017,11.3
1.7,1.9,1017,13.6
2.1,2.1,1017,11.3
2.8,3.2,1017,11.3
1.6,0.6,1017,11.3
1.9,1.6,1017,12
1.8,1.8,1017,11.2
2.5,2.1,1017,11.2
2.5,3.4,1017,13.6
1.8,2,1017,11.2
2.8,3.2,1017,11.2
1.4,0.2,1017,11.2
2.6,3.2,1017,11.2
2.7,2.8,1017,11.2
2.4,2.8,1017,12.1
2.5,3,1017,12.1
2.1,2.2,1017,11.2
1.5,0.4,1017,12
6.7,8.1,1017,13.4
6.1,8.8,1017,13.4
8.5,12.5,1017,13.5
5.4,7.3,1017,13.4
4.8,7.7,1017,13.4
10.5,18.4,1017,12.1
5.3,7.5,1017,14.9
7.5,12,1017,13.4
1.6,0.5,1017,13.4
1.5,0.6,1017,14.9
2,1.9,1017,11.8
1.7,0.7,1017,14.9
2.7,2.7,1017,13.5
1.5,0.3,1017,14.9
2.7,2.4,1017,14.9
2.6,1.8,1017,14.9
2.8,3,1017,13.4
1.9,1.1,1017,14.9
1.4,0.5,1017,13.5
3.2,6,1017,13.5
1.5,0.4,1017,14.9
6.2,5,1017,13.4
1.7,0.9,1017,12.1
2.6,1.5,1017,14.9
1.4,0.2,1017,13.5
9.6,14.6,1017,13.8
14.1,18.6,1017,14.1
2.7,2,1017,12.1
4.4,5.1,1017,10.1
2.7,2.5,1017,12.1
3,5.3,1017,12.1
2.7,2.7,1017,10.5
2,1.4,1017,14.9
1.7,1.1,1017,14.9
2.8,2.7,1017,14.9
2.4,1.7,1017,14.9
3.5,3.8,1017,14.9
2.7,1.2,1017,14.9
1.7,0.9,1017,14.9
2.1,1.8,1017,14.9
3.1,3.3,1017,14.9
2.4,3.3,1017,14.9
1.8,1.4,1017,10.5
3.1,2.6,1017,14.9
2,1.4,1017,10.5
1.7,1.2,1017,14.9
2.7,2.6,1017,14.9
2.2,2.1,1017,14.9
